generator_id,level_id,width,height,solid_density,empty_density,enemy_count,enemy_density,reward_count,reward_density,block_density,pipe_density,gap_count,gap_density,max_gap_width,linearity_r2,nonlinearity,surface_resid_std,surface_std,leniency,tile_entropy,column_entropy,unique_column_ratio,compression_ratio,within_ncd,distance_to_original_ncd,ncd_pairs,distance_to_original_centroid
mariogan,mariogan::level_33.txt,168,14,0.09268707482993198,0.9056122448979592,4,0.023809523809523808,1,0.005952380952380952,0.08928571428571429,0.05952380952380952,6,0.16666666666666666,11,0.01090781597039514,0.9890921840296049,1.4196934703524682,1.4173399992262865,0.5077682677750164,0.5407762382516998,2.374211136518864,0.1130952380952381,0.06427061310782241,0.7306290283774906,0.851949864333206,1770,4.666742450565126
mariogan,mariogan::level_34.txt,168,14,0.13137755102040816,0.8656462585034014,7,0.041666666666666664,2,0.011904761904761904,0.05952380952380952,0.07142857142857142,3,0.05357142857142857,4,0.011967474505184206,0.9880325254948158,1.5103727751579334,1.5099055866975515,0.7378620480239185,0.6705788414315277,2.450595291251213,0.10714285714285714,0.06807610993657505,0.7306290283774906,0.851949864333206,1770,3.7310238285450854
mariogan,mariogan::level_35.txt,168,14,0.10799319727891156,0.8877551020408163,10,0.05952380952380952,1,0.005952380952380952,0.16071428571428573,0.10119047619047619,6,0.2261904761904762,21,0.012323982070196027,0.987676017929804,2.0163300787575156,2.013897299098164,0.38122064433291775,0.6638227938817004,3.3138104244765128,0.17261904761904762,0.07864693446088795,0.7306290283774906,0.851949864333206,1770,3.6647068179008353
mariogan,mariogan::level_36.txt,168,14,0.12287414965986394,0.8724489795918368,11,0.06547619047619048,3,0.017857142857142856,0.21428571428571427,0.16071428571428573,4,0.05952380952380952,3,0.032127091590368195,0.9678729084096318,1.7949947163293698,1.8131033478541703,0.7524213402517113,0.7428453066413483,3.0195248676602113,0.13690476190476192,0.07822410147991543,0.7306290283774906,0.851949864333206,1770,3.1648414657045505
mariogan,mariogan::level_37.txt,168,14,0.11989795918367346,0.8758503401360545,10,0.05952380952380952,1,0.005952380952380952,0.08333333333333333,0.16071428571428573,5,0.14285714285714285,11,0.02121078244507346,0.9787892175549265,1.509701422749158,1.5153376095734092,0.5161013266239708,0.6927168989365773,3.0195440697088705,0.14285714285714285,0.08329809725158563,0.7306290283774906,0.851949864333206,1770,3.40077726423034
mariogan,mariogan::level_38.txt,168,14,0.13903061224489796,0.8550170068027211,14,0.08333333333333333,1,0.005952380952380952,0.22023809523809523,0.18452380952380953,6,0.09523809523809523,7,3.638228389402087e-05,0.999963617716106,2.358276685883478,2.343440450333341,0.612330143561211,0.814726411361394,3.870655074342258,0.21428571428571427,0.09133192389006342,0.7306290283774906,0.851949864333206,1770,2.5698611243753366
mariogan,mariogan::level_39.txt,168,14,0.09821428571428571,0.8945578231292517,17,0.10119047619047619,2,0.011904761904761904,0.10119047619047619,0.17261904761904762,3,0.13095238095238096,17,0.040443274405290386,0.9595567255947096,1.4736871972197336,1.4941538472915652,0.44998918177758485,0.6632336683792344,2.8979712089787397,0.1488095238095238,0.07695560253699789,0.7306290283774906,0.851949864333206,1770,3.917933138145618
mariogan,mariogan::level_4.txt,168,14,0.12414965986394558,0.8711734693877551,11,0.06547619047619048,2,0.011904761904761904,0.2261904761904762,0.13690476190476192,2,0.10119047619047619,15,0.007707110372288439,0.9922928896277116,2.3574685746091006,2.3518607089735983,0.496000120860527,0.743254988346616,3.3532813487326125,0.19642857142857142,0.08414376321353066,0.7306290283774906,0.851949864333206,1770,2.901558813402368
mariogan,mariogan::level_40.txt,168,14,0.12457482993197279,0.8681972789115646,17,0.10119047619047619,5,0.02976190476190476,0.24404761904761904,0.16666666666666666,0,0.0,0,0.029802829516998752,0.9701971704830012,1.6036203605102295,1.618344450769943,0.944758199960482,0.7810887136221993,3.064885483157285,0.20238095238095238,0.08498942917547568,0.7306290283774906,0.851949864333206,1770,3.540667658688063
mariogan,mariogan::level_41.txt,168,14,0.11607142857142858,0.8813775510204082,6,0.03571428571428571,2,0.011904761904761904,0.23809523809523808,0.03571428571428571,4,0.1130952380952381,12,0.007162180847011812,0.9928378191529882,2.459744517267582,2.4527252751738544,0.5326193444959031,0.6567922918411122,2.9376208181201253,0.16666666666666666,0.07357293868921776,0.7306290283774906,0.851949864333206,1770,3.482307761509715
mariogan,mariogan::level_42.txt,168,14,0.1475340136054422,0.8511904761904762,3,0.017857142857142856,0,0.0,0.09523809523809523,0.13095238095238096,2,0.023809523809523808,2,0.060430552396514625,0.9395694476034854,1.7002798950980238,1.7435076467314563,0.8544802503594688,0.7383731464850399,2.7623015449382553,0.125,0.07315010570824525,0.7306290283774906,0.851949864333206,1770,4.101487942017143
mariogan,mariogan::level_43.txt,168,14,0.11267006802721088,0.8805272108843537,16,0.09523809523809523,4,0.023809523809523808,0.2619047619047619,0.16666666666666666,5,0.1130952380952381,6,0.003846097562754891,0.9961539024372451,1.7795934248042151,1.7714096478023384,0.6181054336092119,0.7432660046518674,3.457572880955212,0.20833333333333334,0.0854122621564482,0.7306290283774906,0.851949864333206,1770,2.929170724278443
mariogan,mariogan::level_44.txt,168,14,0.1050170068027211,0.8894557823129252,13,0.07738095238095238,2,0.011904761904761904,0.25,0.1130952380952381,5,0.23809523809523808,24,0.0026629566040362596,0.9973370433959637,2.7043452942820276,2.6889498632021764,0.35964126768888427,0.6710658569541037,3.1451476653005708,0.18452380952380953,0.07906976744186046,0.7306290283774906,0.851949864333206,1770,3.8047067805725776
mariogan,mariogan::level_45.txt,168,14,0.13052721088435373,0.8622448979591837,17,0.10119047619047619,2,0.011904761904761904,0.10714285714285714,0.25595238095238093,2,0.10119047619047619,16,0.030127922578629063,0.9698720774213709,1.685173868073909,1.69985283296514,0.476042502979103,0.7986548219545979,3.4460011980390615,0.17857142857142858,0.08498942917547568,0.7306290283774906,0.851949864333206,1770,2.8313838936494617
mariogan,mariogan::level_46.txt,168,14,0.09693877551020408,0.9009353741496599,5,0.02976190476190476,0,0.0,0.10714285714285714,0.08928571428571429,6,0.07142857142857142,3,0.029490529710337055,0.970509470289663,1.5728015564092215,1.5864460419021305,0.7423940137852894,0.5685062028517474,2.2736929388557092,0.13690476190476192,0.06553911205073996,0.7306290283774906,0.851949864333206,1770,4.444432438536027
mariogan,mariogan::level_47.txt,168,14,0.11522108843537415,0.8758503401360545,21,0.125,1,0.005952380952380952,0.10119047619047619,0.1488095238095238,5,0.08333333333333333,4,0.044701359772602256,0.9552986402273977,1.5457666870521782,1.571282342480779,0.6698491678224688,0.7138780865999396,3.0351809381701838,0.14285714285714285,0.0828752642706131,0.7306290283774906,0.851949864333206,1770,3.6318793603062325
mariogan,mariogan::level_48.txt,168,14,0.10586734693877552,0.8920068027210885,5,0.02976190476190476,1,0.005952380952380952,0.09523809523809523,0.07142857142857142,7,0.14285714285714285,8,0.003355933055010474,0.9966440669449895,1.8343810025916505,1.82483801402869,0.5659549793324254,0.605894201788501,2.712856121896659,0.16071428571428573,0.07061310782241015,0.7306290283774906,0.851949864333206,1770,3.90447719125957
mariogan,mariogan::level_49.txt,168,14,0.08758503401360544,0.9094387755102041,7,0.041666666666666664,0,0.0,0.1130952380952381,0.023809523809523808,3,0.02976190476190476,2,0.015724205423017112,0.9842757945769829,1.294499439675027,1.296818052493507,0.8316867381363802,0.5231736831415672,1.7224802615236752,0.08928571428571429,0.054122621564482026,0.7306290283774906,0.851949864333206,1770,5.226742713311722
mariogan,mariogan::level_5.txt,168,14,0.13392857142857142,0.8635204081632653,6,0.03571428571428571,1,0.005952380952380952,0.25,0.10714285714285714,6,0.1130952380952381,7,0.0012950637535147358,0.9987049362464853,2.0403235736884207,2.028345265673948,0.6096658297465327,0.7346003157575456,3.2892057285748235,0.15476190476190477,0.07906976744186046,0.7306290283774906,0.851949864333206,1770,3.0753836107124193
