level_id,generator,judge_score
mariogan::level_64.txt,mariogan,-0.46550042739265207
mariogan::level_65.txt,mariogan,-0.11200410948037028
mariogan::level_66.txt,mariogan,0.05982656589559796
mariogan::level_67.txt,mariogan,-0.6901965061803973
mariogan::level_68.txt,mariogan,-0.7474229964764053
mariogan::level_69.txt,mariogan,-0.51081200635288
mariogan::level_7.txt,mariogan,-0.36337960430313865
mariogan::level_70.txt,mariogan,-0.6551431274844843
mariogan::level_71.txt,mariogan,-0.1231422226362312
mariogan::level_72.txt,mariogan,-0.07181966262009336
mariogan::level_73.txt,mariogan,0.33305029527944774
mariogan::level_74.txt,mariogan,-0.32596061445882785
mariogan::level_75.txt,mariogan,-0.7339566038920394
mariogan::level_76.txt,mariogan,0.0013855683827307674
mariogan::level_77.txt,mariogan,-0.42583893740644085
mariogan::level_78.txt,mariogan,-0.35049857906227544
mariogan::level_79.txt,mariogan,-0.2126903344645503
mariogan::level_8.txt,mariogan,-0.2891934189179258
mariogan::level_80.txt,mariogan,0.40785139166936485
mariogan::level_81.txt,mariogan,-0.4191656492640022
mariogan::level_82.txt,mariogan,-0.9677761382495871
mariogan::level_83.txt,mariogan,-0.6037721277714115
mariogan::level_84.txt,mariogan,-0.18650473244899626
mariogan::level_85.txt,mariogan,0.01733189869644143
mariogan::level_86.txt,mariogan,-0.41684432737860694
mariogan::level_87.txt,mariogan,-0.3525033650678461
mariogan::level_88.txt,mariogan,-0.5357965755698331
mariogan::level_89.txt,mariogan,-0.8700983480724479
mariogan::level_9.txt,mariogan,-0.0894508943657624
mariogan::level_90.txt,mariogan,-0.05552210406782013
mariogan::level_91.txt,mariogan,-0.539638564972411
mariogan::level_92.txt,mariogan,0.1494439834468543
mariogan::level_93.txt,mariogan,-1.1788197877882998
mariogan::level_94.txt,mariogan,-0.12639330200320004
mariogan::level_95.txt,mariogan,-0.7174885254768137
mariogan::level_96.txt,mariogan,-0.5493261711645513
mariogan::level_97.txt,mariogan,0.020651213865285765
mariogan::level_98.txt,mariogan,0.16215396062827261
mariogan::level_99.txt,mariogan,-0.1980837032575731
mariogpt::level_000.txt,mariogpt,1.4373203460776087
mariogpt::level_001.txt,mariogpt,0.9536254002576733
mariogpt::level_002.txt,mariogpt,0.10592545868218843
mariogpt::level_003.txt,mariogpt,0.44847349645163664
